id,school_id,constituent_id,degree_type,school_or_unit,major,class_year,start_year,record_source
933,1,14887,M.A. Master of Arts,College of Arts and Sciences,English,2000,1998,advancement_entry
934,1,4936,M.S. Master of Science,School of Health Sciences,Public Health,2025,2021,crm_import
935,1,13563,J.D. Doctor of Jurisprudence,College of Arts and Sciences,History,2018,2014,crm_import
936,1,9414,Ph.D. Doctor of Philosophy,School of Health Sciences,Public Health,1995,1991,crm_import
937,1,5140,B.A. Bachelor of Arts,School of Health Sciences,Public Health,1972,1968,crm_import
938,1,11078,Certificate,College of Arts and Sciences,Political Science,1997,1993,crm_import
939,1,4487,J.D. Doctor of Jurisprudence,College of Arts and Sciences,English,2019,2015,online
940,1,10223,J.D. Doctor of Jurisprudence,School of Engineering,Mechanical Engineering,2008,2004,online
941,1,8583,J.D. Doctor of Jurisprudence,College of Arts and Sciences,English,2008,2004,advancement_entry
942,1,16712,B.B.A. Bachelor of Business Administration,School of Business,Business Administration,1976,1972,crm_import
943,1,5424,Certificate,School of Health Sciences,Public Health,2019,2015,crm_import
944,1,634,Certificate,School of Health Sciences,,2012,2008,crm_import
945,1,5354,Ph.D. Doctor of Philosophy,College of Arts and Sciences,Political Science,2015,2011,crm_import
946,1,17082,M.A. Master of Arts,College of Arts and Sciences,History,1985,1981,crm_import
947,1,12004,Certificate,School of Health Sciences,Public Health,2022,2018,crm_import
948,1,14838,B.S. Bachelor of Science,School of Engineering,Mechanical Engineering,1994,1990,crm_import
949,1,19914,B.A. Bachelor of Arts,College of Arts and Sciences,Political Science,1976,1972,online
950,1,14590,Certificate,College of Arts and Sciences,Economics,2010,2006,online
951,1,2552,B.A. Bachelor of Arts,School of Health Sciences,Public Health,1995,1991,advancement_entry
952,1,17561,Certificate,School of Business,Business Administration,2026,2022,crm_import
953,1,6302,J.D. Doctor of Jurisprudence,College of Arts and Sciences,History,2005,2001,crm_import
954,1,15842,B.B.A. Bachelor of Business Administration,College of Arts and Sciences,Political Science,1962,1958,crm_import
955,1,8622,A.B. Bachelor of Arts,College of Arts and Sciences,Biology,1976,1972,crm_import
956,1,5634,B.S. Bachelor of Science,College of Arts and Sciences,Economics,2015,2011,crm_import
957,1,10627,M.S. Master of Science,School of Education,Education,1987,1983,crm_import
958,1,2564,B.B.A. Bachelor of Business Administration,School of Business,Business Administration,2002,1998,crm_import
959,1,80,B.B.A. Bachelor of Business Administration,College of Arts and Sciences,Biology,1966,1962,online
960,1,5769,M.B.A. Master of Business Administration,College of Arts and Sciences,Biology,2026,2022,online
961,1,15309,A.B. Bachelor of Arts,College of Arts and Sciences,,1982,1978,advancement_entry
962,1,10042,Certificate,College of Arts and Sciences,Economics,2021,2017,crm_import
963,1,10019,B.B.A. Bachelor of Business Administration,School of Engineering,Computer Science,,2004,crm_import
964,1,3207,Ph.D. Doctor of Philosophy,College of Arts and Sciences,,2026,2022,crm_import
965,1,16432,A.B. Bachelor of Arts,College of Arts and Sciences,Political Science,1990,1986,crm_import
966,1,19250,J.D. Doctor of Jurisprudence,College of Arts and Sciences,Economics,1993,1989,crm_import
967,1,12196,J.D. Doctor of Jurisprudence,School of Engineering,Computer Science,1954,1950,crm_import
968,1,10941,Ph.D. Doctor of Philosophy,School of Education,Education,2007,2003,crm_import
969,1,15732,Ph.D. Doctor of Philosophy,College of Arts and Sciences,,1978,1974,online
970,1,4302,Certificate,School of Health Sciences,Public Health,1964,1960,online
971,1,12429,M.A. Master of Arts,College of Arts and Sciences,History,1987,1983,crm_import
972,1,6019,J.D. Doctor of Jurisprudence,College of Arts and Sciences,Biology,1983,1979,crm_import
973,1,8714,B.A. Bachelor of Arts,College of Arts and Sciences,English,1992,1988,crm_import
974,1,1329,M.A. Master of Arts,College of Arts and Sciences,Political Science,1998,1994,crm_import
975,1,6830,Certificate,College of Arts and Sciences,Political Science,1994,1990,crm_import
976,1,7570,A.B. Bachelor of Arts,College of Arts and Sciences,History,1963,1959,crm_import
977,1,7570,M.A. Master of Arts,School of Business,Business Administration,1967,1965,crm_import
978,1,3997,M.A. Master of Arts,School of Engineering,Computer Science,1987,1983,crm_import
979,1,16176,B.S. Bachelor of Science,College of Arts and Sciences,,1983,1979,online
980,1,10026,M.S. Master of Science,School of Business,Business Administration,2002,1998,advancement_entry
981,1,17620,J.D. Doctor of Jurisprudence,College of Arts and Sciences,Biology,1997,1993,crm_import
982,1,11240,M.B.A. Master of Business Administration,School of Business,Business Administration,2017,2013,crm_import
983,1,6472,B.B.A. Bachelor of Business Administration,School of Education,Education,1966,1962,crm_import
984,1,16684,A.B. Bachelor of Arts,School of Health Sciences,Public Health,2019,2015,crm_import
985,1,11577,M.B.A. Master of Business Administration,School of Health Sciences,,1985,1981,crm_import
986,1,7707,M.B.A. Master of Business Administration,School of Engineering,Computer Science,2009,2005,crm_import
987,1,3427,J.D. Doctor of Jurisprudence,School of Engineering,Computer Science,2009,2005,crm_import
988,1,1289,Ph.D. Doctor of Philosophy,School of Business,Business Administration,1991,1987,online
989,1,7901,Certificate,College of Arts and Sciences,Biology,2013,2009,online
990,1,14870,B.B.A. Bachelor of Business Administration,School of Education,,2009,2005,advancement_entry
991,1,17272,M.A. Master of Arts,College of Arts and Sciences,Economics,2019,2015,crm_import
992,1,19529,M.A. Master of Arts,College of Arts and Sciences,History,1955,1951,crm_import
993,1,5814,A.B. Bachelor of Arts,College of Arts and Sciences,Economics,1983,1979,crm_import
994,1,5814,Certificate,School of Health Sciences,Public Health,1990,1988,crm_import
995,1,13432,B.B.A. Bachelor of Business Administration,School of Business,Business Administration,2002,1998,crm_import
996,1,774,B.B.A. Bachelor of Business Administration,College of Arts and Sciences,History,1967,1963,crm_import
997,1,14795,B.A. Bachelor of Arts,College of Arts and Sciences,English,1994,1990,crm_import
998,1,13778,J.D. Doctor of Jurisprudence,School of Business,Business Administration,2002,1998,crm_import
999,1,13778,M.S. Master of Science,College of Arts and Sciences,Political Science,2005,2003,crm_import
1000,1,5248,M.B.A. Master of Business Administration,School of Education,Education,2016,2012,online
1001,1,3293,M.A. Master of Arts,College of Arts and Sciences,Economics,2015,2011,online
1002,1,1528,B.B.A. Bachelor of Business Administration,School of Health Sciences,Public Health,1972,1968,advancement_entry
1003,1,1528,Ph.D. Doctor of Philosophy,College of Arts and Sciences,Biology,1975,1973,advancement_entry
1004,1,14897,M.S. Master of Science,School of Health Sciences,Public Health,1974,1970,crm_import
1005,1,10502,J.D. Doctor of Jurisprudence,School of Business,Business Administration,1994,1990,crm_import
1006,1,2846,M.B.A. Master of Business Administration,School of Health Sciences,Public Health,2004,2000,crm_import
1007,1,2846,M.B.A. Master of Business Administration,School of Business,Business Administration,2010,2008,crm_import
1008,1,1931,Certificate,School of Engineering,Computer Science,2000,1996,crm_import
1009,1,3235,A.B. Bachelor of Arts,College of Arts and Sciences,Biology,1983,1979,crm_import
1010,1,7102,,School of Education,Education,1986,1982,online
1011,1,9184,Certificate,College of Arts and Sciences,Biology,2006,2002,online
1012,1,15952,,College of Arts and Sciences,English,1962,1958,advancement_entry
1013,1,13818,M.A. Master of Arts,College of Arts and Sciences,History,1964,1960,crm_import
1014,1,13818,M.A. Master of Arts,School of Business,Business Administration,1970,1968,crm_import
1015,1,8456,M.A. Master of Arts,College of Arts and Sciences,,,1966,crm_import
1016,1,16437,M.B.A. Master of Business Administration,College of Arts and Sciences,English,2018,2014,crm_import
1017,1,18525,B.S. Bachelor of Science,School of Business,Business Administration,1989,1985,crm_import
1018,1,8207,B.A. Bachelor of Arts,School of Health Sciences,,1992,1988,crm_import
1019,1,40,Certificate,College of Arts and Sciences,Political Science,2026,2022,online
1020,1,10265,J.D. Doctor of Jurisprudence,College of Arts and Sciences,,2016,2012,online
1021,1,14728,M.B.A. Master of Business Administration,College of Arts and Sciences,Biology,1984,1980,advancement_entry
1022,1,8443,M.B.A. Master of Business Administration,School of Health Sciences,Public Health,1960,1956,crm_import
1023,1,14874,M.A. Master of Arts,College of Arts and Sciences,History,2006,2002,crm_import
1024,1,7845,B.S. Bachelor of Science,College of Arts and Sciences,English,2003,1999,crm_import
1025,1,6772,M.A. Master of Arts,School of Engineering,Mechanical Engineering,1995,1991,crm_import
1026,1,2130,B.B.A. Bachelor of Business Administration,School of Engineering,,1962,1958,crm_import
1027,1,26,B.B.A. Bachelor of Business Administration,College of Arts and Sciences,English,1989,1985,crm_import
1028,1,5175,M.S. Master of Science,College of Arts and Sciences,,1994,1990,online
1029,1,5175,J.D. Doctor of Jurisprudence,School of Business,Business Administration,1998,1996,online
1030,1,17301,M.A. Master of Arts,College of Arts and Sciences,,1989,1985,online
1031,1,10777,A.B. Bachelor of Arts,College of Arts and Sciences,Economics,2008,2004,advancement_entry
1032,1,6853,M.S. Master of Science,College of Arts and Sciences,History,2016,2012,crm_import
1033,1,10791,M.A. Master of Arts,College of Arts and Sciences,Economics,2008,2004,crm_import
1034,1,16013,B.B.A. Bachelor of Business Administration,College of Arts and Sciences,Biology,1981,1977,crm_import
1035,1,17670,J.D. Doctor of Jurisprudence,School of Business,Business Administration,2018,2014,crm_import
1036,1,15787,M.A. Master of Arts,College of Arts and Sciences,History,1991,1987,crm_import
1037,1,1510,B.A. Bachelor of Arts,College of Arts and Sciences,Economics,1985,1981,crm_import
1038,1,10645,Ph.D. Doctor of Philosophy,School of Education,Education,1983,1979,crm_import
1039,1,4644,B.S. Bachelor of Science,College of Arts and Sciences,,2023,2019,online
1040,1,1681,M.B.A. Master of Business Administration,College of Arts and Sciences,History,1980,1976,online
1041,1,9488,J.D. Doctor of Jurisprudence,College of Arts and Sciences,Biology,1962,1958,advancement_entry
1042,1,9488,M.A. Master of Arts,College of Arts and Sciences,Biology,1964,1962,advancement_entry
1043,1,16386,M.S. Master of Science,College of Arts and Sciences,English,1973,1969,crm_import
1044,1,19707,,College of Arts and Sciences,Political Science,2017,2013,crm_import
1045,1,13466,M.B.A. Master of Business Administration,School of Business,Business Administration,2008,2004,crm_import
1046,1,15060,M.B.A. Master of Business Administration,College of Arts and Sciences,Biology,2018,2014,crm_import
1047,1,15060,Certificate,School of Engineering,Computer Science,2024,2022,crm_import
1048,1,12805,M.B.A. Master of Business Administration,School of Engineering,Computer Science,2009,2005,crm_import
1049,1,12805,A.B. Bachelor of Arts,College of Arts and Sciences,English,2016,2014,crm_import
1050,1,19757,Ph.D. Doctor of Philosophy,College of Arts and Sciences,English,1981,1977,crm_import
1051,1,19757,Ph.D. Doctor of Philosophy,College of Arts and Sciences,History,1987,1985,crm_import
1052,1,14992,A.B. Bachelor of Arts,College of Arts and Sciences,History,1983,1979,online
1053,1,1496,Ph.D. Doctor of Philosophy,School of Engineering,Mechanical Engineering,2001,1997,online
1054,1,4870,M.A. Master of Arts,School of Engineering,Mechanical Engineering,,1973,advancement_entry
1055,1,17372,B.S. Bachelor of Science,School of Business,Business Administration,1998,1994,crm_import
1056,1,12285,B.B.A. Bachelor of Business Administration,College of Arts and Sciences,Economics,2002,1998,crm_import
1057,1,5323,B.A. Bachelor of Arts,School of Engineering,Computer Science,1971,1967,crm_import
1058,1,19653,Certificate,College of Arts and Sciences,Biology,2016,2012,crm_import
1059,1,816,B.A. Bachelor of Arts,College of Arts and Sciences,Political Science,1990,1986,crm_import
1060,1,5091,B.A. Bachelor of Arts,College of Arts and Sciences,,2001,1997,crm_import
1061,1,3143,B.A. Bachelor of Arts,College of Arts and Sciences,English,1976,1972,online
1062,1,16420,B.A. Bachelor of Arts,College of Arts and Sciences,English,2014,2010,online
1063,1,700,Ph.D. Doctor of Philosophy,College of Arts and Sciences,English,1973,1969,advancement_entry
1064,1,700,M.S. Master of Science,College of Arts and Sciences,History,1978,1976,advancement_entry
1065,1,16762,Ph.D. Doctor of Philosophy,School of Engineering,Mechanical Engineering,2004,2000,crm_import
1066,1,7482,B.A. Bachelor of Arts,College of Arts and Sciences,English,2026,2022,crm_import
1067,1,11018,J.D. Doctor of Jurisprudence,School of Engineering,,2005,2001,crm_import
1068,1,3317,B.S. Bachelor of Science,School of Engineering,Mechanical Engineering,1955,1951,crm_import
1069,1,3317,Ph.D. Doctor of Philosophy,College of Arts and Sciences,Political Science,1959,1957,crm_import
1070,1,12033,M.S. Master of Science,School of Business,Business Administration,2007,2003,crm_import
1071,1,18134,J.D. Doctor of Jurisprudence,School of Health Sciences,Public Health,2013,2009,crm_import
1072,1,11218,B.B.A. Bachelor of Business Administration,School of Business,Business Administration,2000,1996,crm_import
1073,1,11218,M.A. Master of Arts,College of Arts and Sciences,Biology,2007,2005,crm_import
1074,1,18999,Certificate,School of Business,Business Administration,2013,2009,online
1075,1,17817,J.D. Doctor of Jurisprudence,College of Arts and Sciences,,,1963,online
1076,1,17673,Ph.D. Doctor of Philosophy,College of Arts and Sciences,History,1953,1949,advancement_entry
1077,1,17673,Ph.D. Doctor of Philosophy,College of Arts and Sciences,Biology,1959,1957,advancement_entry
1078,1,19077,M.S. Master of Science,School of Business,Business Administration,1978,1974,crm_import
1079,1,11862,B.S. Bachelor of Science,College of Arts and Sciences,,1958,1954,crm_import
1080,1,1015,M.S. Master of Science,College of Arts and Sciences,Political Science,1985,1981,crm_import
1081,1,17011,Certificate,School of Engineering,Computer Science,2006,2002,crm_import
1082,1,12745,Ph.D. Doctor of Philosophy,School of Engineering,Computer Science,1967,1963,crm_import
1083,1,12295,Certificate,School of Business,Business Administration,1995,1991,crm_import
1084,1,12295,A.B. Bachelor of Arts,College of Arts and Sciences,Economics,1999,1997,crm_import
1085,1,12820,Certificate,School of Engineering,Computer Science,1995,1991,crm_import
1086,1,18760,M.A. Master of Arts,College of Arts and Sciences,History,,1974,online
1087,1,11337,M.A. Master of Arts,School of Engineering,Mechanical Engineering,1955,1951,advancement_entry
1088,1,18018,A.B. Bachelor of Arts,School of Education,Education,1995,1991,crm_import
1089,1,15112,M.A. Master of Arts,School of Engineering,,1976,1972,crm_import
1090,1,4704,M.S. Master of Science,College of Arts and Sciences,History,1984,1980,crm_import
1091,1,10665,Certificate,College of Arts and Sciences,Political Science,1964,1960,crm_import
1092,1,4689,M.A. Master of Arts,College of Arts and Sciences,History,2002,1998,online
1093,1,10441,M.S. Master of Science,School of Business,Business Administration,1977,1973,online
1094,1,10441,A.B. Bachelor of Arts,College of Arts and Sciences,English,1982,1980,online
1095,1,16491,B.A. Bachelor of Arts,College of Arts and Sciences,History,2024,2020,advancement_entry
1096,1,15824,J.D. Doctor of Jurisprudence,College of Arts and Sciences,English,1966,1962,crm_import
1097,1,8344,Ph.D. Doctor of Philosophy,School of Engineering,Mechanical Engineering,1981,1977,crm_import
1098,1,12699,B.A. Bachelor of Arts,College of Arts and Sciences,English,2011,2007,crm_import
1099,1,12699,A.B. Bachelor of Arts,School of Education,Education,2018,2016,crm_import
1100,1,7991,B.S. Bachelor of Science,College of Arts and Sciences,Biology,1962,1958,crm_import
1101,1,5501,B.S. Bachelor of Science,School of Education,Education,2024,2020,crm_import
1102,1,15558,A.B. Bachelor of Arts,College of Arts and Sciences,Political Science,1964,1960,crm_import
1103,1,10082,B.B.A. Bachelor of Business Administration,School of Health Sciences,Public Health,,2009,crm_import
1104,1,13227,A.B. Bachelor of Arts,College of Arts and Sciences,English,1987,1983,online
1105,1,5647,Ph.D. Doctor of Philosophy,College of Arts and Sciences,English,1981,1977,online
1106,1,10874,B.B.A. Bachelor of Business Administration,School of Business,Business Administration,1968,1964,crm_import
1107,1,13981,Ph.D. Doctor of Philosophy,School of Business,Business Administration,1950,1946,crm_import
1108,1,18086,,College of Arts and Sciences,English,1971,1967,crm_import
1109,1,9976,Certificate,School of Education,Education,2026,2022,crm_import
1110,1,10052,M.S. Master of Science,College of Arts and Sciences,Biology,1976,1972,crm_import
1111,1,201,A.B. Bachelor of Arts,School of Business,Business Administration,2008,2004,crm_import
1112,1,201,M.B.A. Master of Business Administration,College of Arts and Sciences,Economics,2011,2009,crm_import
1113,1,12751,Ph.D. Doctor of Philosophy,School of Engineering,Mechanical Engineering,1985,1981,crm_import
1114,1,7857,M.A. Master of Arts,School of Engineering,Mechanical Engineering,2000,1996,online
1115,1,19256,A.B. Bachelor of Arts,School of Engineering,Computer Science,2023,2019,online
1116,1,163,B.S. Bachelor of Science,School of Engineering,Mechanical Engineering,1998,1994,advancement_entry
1117,1,163,M.A. Master of Arts,School of Business,Business Administration,2000,1998,advancement_entry
1118,1,3060,M.A. Master of Arts,College of Arts and Sciences,History,1984,1980,crm_import
1119,1,12680,B.S. Bachelor of Science,School of Engineering,Computer Science,1956,1952,crm_import
1120,1,12680,Certificate,School of Engineering,Computer Science,1963,1961,crm_import
1121,1,17367,Ph.D. Doctor of Philosophy,School of Health Sciences,Public Health,1969,1965,crm_import
1122,1,17367,M.B.A. Master of Business Administration,College of Arts and Sciences,History,1972,1970,crm_import
1123,1,1648,M.B.A. Master of Business Administration,College of Arts and Sciences,Biology,1972,1968,crm_import
1124,1,1648,M.B.A. Master of Business Administration,College of Arts and Sciences,English,1975,1973,crm_import
1125,1,10439,B.S. Bachelor of Science,School of Education,Education,2010,2006,crm_import
1126,1,205,Certificate,College of Arts and Sciences,Biology,2002,1998,crm_import
1127,1,7763,Certificate,College of Arts and Sciences,Economics,2013,2009,crm_import
1128,1,9323,M.B.A. Master of Business Administration,School of Education,Education,2001,1997,online
1129,1,6473,M.S. Master of Science,School of Health Sciences,Public Health,2006,2002,advancement_entry
1130,1,10046,,School of Engineering,Computer Science,2010,2006,crm_import
1131,1,8572,B.B.A. Bachelor of Business Administration,College of Arts and Sciences,Political Science,1998,1994,crm_import
1132,1,12559,B.B.A. Bachelor of Business Administration,School of Engineering,Mechanical Engineering,2009,2005,crm_import
1133,1,19774,,College of Arts and Sciences,Biology,1963,1959,crm_import
1134,1,9927,,School of Health Sciences,Public Health,1995,1991,crm_import
1135,1,7721,Certificate,School of Business,Business Administration,2021,2017,crm_import
1136,1,7721,A.B. Bachelor of Arts,School of Business,Business Administration,2026,2024,crm_import
1137,1,9127,A.B. Bachelor of Arts,School of Business,Business Administration,1986,1982,online
1138,1,9127,J.D. Doctor of Jurisprudence,College of Arts and Sciences,Biology,1989,1987,online
1139,1,317,M.S. Master of Science,College of Arts and Sciences,English,1964,1960,online
1140,1,19306,B.A. Bachelor of Arts,School of Health Sciences,Public Health,1985,1981,advancement_entry
1141,1,2673,,College of Arts and Sciences,History,1961,1957,crm_import
1142,1,2673,M.A. Master of Arts,School of Education,Education,1963,1961,crm_import
1143,1,9872,M.B.A. Master of Business Administration,School of Health Sciences,Public Health,2000,1996,crm_import
1144,1,13722,B.S. Bachelor of Science,College of Arts and Sciences,Political Science,2012,2008,crm_import
1145,1,13722,M.S. Master of Science,School of Engineering,Computer Science,2018,2016,crm_import
1146,1,5683,B.S. Bachelor of Science,School of Health Sciences,,1987,1983,crm_import
1147,1,5253,Ph.D. Doctor of Philosophy,School of Engineering,Mechanical Engineering,2005,2001,crm_import
1148,1,57,M.A. Master of Arts,College of Arts and Sciences,History,1995,1991,crm_import
1149,1,2476,M.A. Master of Arts,School of Business,Business Administration,2007,2003,crm_import
1150,1,6949,Ph.D. Doctor of Philosophy,School of Education,Education,2010,2006,online
1151,1,15017,M.S. Master of Science,College of Arts and Sciences,History,2007,2003,online
1152,1,15017,M.S. Master of Science,College of Arts and Sciences,History,2013,2011,online
1153,1,875,J.D. Doctor of Jurisprudence,School of Business,Business Administration,1996,1992,advancement_entry
1154,1,8063,B.A. Bachelor of Arts,School of Education,Education,2026,2022,crm_import
1155,1,9562,Certificate,College of Arts and Sciences,English,1995,1991,crm_import
1156,1,5914,B.B.A. Bachelor of Business Administration,School of Health Sciences,Public Health,2010,2006,crm_import
1157,1,2804,M.A. Master of Arts,School of Engineering,Computer Science,,1988,crm_import
1158,1,1964,B.B.A. Bachelor of Business Administration,School of Business,Business Administration,1956,1952,crm_import
1159,1,6580,B.S. Bachelor of Science,College of Arts and Sciences,Biology,1975,1971,crm_import
1160,1,1807,Ph.D. Doctor of Philosophy,College of Arts and Sciences,Political Science,,1996,crm_import
1161,1,2536,J.D. Doctor of Jurisprudence,College of Arts and Sciences,Biology,,2007,online
1162,1,4481,B.B.A. Bachelor of Business Administration,College of Arts and Sciences,Economics,2009,2005,online
1163,1,4481,M.B.A. Master of Business Administration,College of Arts and Sciences,Political Science,2014,2012,online
1164,1,9331,B.A. Bachelor of Arts,College of Arts and Sciences,Biology,2017,2013,advancement_entry
1165,1,12933,B.S. Bachelor of Science,School of Business,Business Administration,1963,1959,crm_import
1166,1,16780,J.D. Doctor of Jurisprudence,College of Arts and Sciences,Political Science,,1996,crm_import
1167,1,16780,Ph.D. Doctor of Philosophy,College of Arts and Sciences,English,2005,2003,crm_import
1168,1,159,M.S. Master of Science,School of Engineering,Computer Science,1969,1965,crm_import
1169,1,10263,J.D. Doctor of Jurisprudence,College of Arts and Sciences,Political Science,1986,1982,crm_import
1170,1,10263,J.D. Doctor of Jurisprudence,College of Arts and Sciences,Economics,1993,1991,crm_import
1171,1,13848,J.D. Doctor of Jurisprudence,College of Arts and Sciences,English,1960,1956,online
1172,1,14967,M.B.A. Master of Business Administration,School of Engineering,Mechanical Engineering,2004,2000,online
1173,1,3158,B.S. Bachelor of Science,School of Engineering,Mechanical Engineering,2003,1999,advancement_entry
1174,1,1290,Ph.D. Doctor of Philosophy,College of Arts and Sciences,Economics,1990,1986,crm_import
1175,1,4050,J.D. Doctor of Jurisprudence,College of Arts and Sciences,Economics,1990,1986,crm_import
1176,1,16496,B.A. Bachelor of Arts,School of Health Sciences,Public Health,1993,1989,crm_import
1177,1,16527,M.B.A. Master of Business Administration,School of Engineering,Mechanical Engineering,1995,1991,crm_import
1178,1,9070,M.A. Master of Arts,College of Arts and Sciences,History,1962,1958,crm_import
1179,1,18937,B.A. Bachelor of Arts,School of Business,Business Administration,1979,1975,crm_import
1180,1,1492,M.S. Master of Science,College of Arts and Sciences,Economics,1991,1987,crm_import
1181,1,15447,M.B.A. Master of Business Administration,College of Arts and Sciences,Economics,2019,2015,online
1182,1,5763,M.A. Master of Arts,School of Engineering,Mechanical Engineering,2015,2011,crm_import
1183,1,12200,J.D. Doctor of Jurisprudence,School of Business,Business Administration,2024,2020,crm_import
1184,1,8235,M.A. Master of Arts,School of Business,Business Administration,2013,2009,crm_import
1185,1,5807,Ph.D. Doctor of Philosophy,College of Arts and Sciences,Political Science,2026,2022,crm_import
1186,1,14962,M.A. Master of Arts,School of Engineering,Computer Science,1980,1976,crm_import
1187,1,4520,A.B. Bachelor of Arts,School of Education,Education,1991,1987,crm_import
1188,1,19460,B.A. Bachelor of Arts,School of Engineering,Mechanical Engineering,1953,1949,crm_import
1189,1,12099,B.A. Bachelor of Arts,College of Arts and Sciences,Biology,1996,1992,online
1190,1,12099,J.D. Doctor of Jurisprudence,College of Arts and Sciences,Economics,2000,1998,online
1191,1,12658,J.D. Doctor of Jurisprudence,College of Arts and Sciences,History,2010,2006,online
1192,1,4249,Ph.D. Doctor of Philosophy,College of Arts and Sciences,Political Science,1980,1976,advancement_entry
1193,1,4249,M.A. Master of Arts,School of Engineering,Mechanical Engineering,1982,1980,advancement_entry
1194,1,19823,M.B.A. Master of Business Administration,School of Engineering,Mechanical Engineering,1995,1991,crm_import
1195,1,49,,College of Arts and Sciences,Economics,2009,2005,crm_import
1196,1,49,Certificate,College of Arts and Sciences,Economics,2012,2010,crm_import
1197,1,828,M.A. Master of Arts,College of Arts and Sciences,Political Science,1960,1956,crm_import
1198,1,14969,Ph.D. Doctor of Philosophy,School of Engineering,Computer Science,2026,2022,crm_import
1199,1,11950,M.S. Master of Science,College of Arts and Sciences,Economics,1992,1988,crm_import
1200,1,11253,M.S. Master of Science,School of Business,Business Administration,1998,1994,crm_import
1201,1,8541,J.D. Doctor of Jurisprudence,School of Education,,1975,1971,crm_import
1202,1,10871,M.S. Master of Science,College of Arts and Sciences,English,2011,2007,online
1203,1,12965,M.B.A. Master of Business Administration,College of Arts and Sciences,,2005,2001,online
1204,1,10061,Certificate,School of Business,Business Administration,2016,2012,advancement_entry
1205,1,10061,M.A. Master of Arts,School of Engineering,Computer Science,2020,2018,advancement_entry
1206,1,10417,J.D. Doctor of Jurisprudence,School of Health Sciences,Public Health,1984,1980,crm_import
1207,1,7655,M.S. Master of Science,School of Engineering,Computer Science,1994,1990,crm_import
1208,1,4883,M.S. Master of Science,School of Business,Business Administration,1991,1987,crm_import
1209,1,4883,M.S. Master of Science,College of Arts and Sciences,History,1998,1996,crm_import
1210,1,355,Ph.D. Doctor of Philosophy,College of Arts and Sciences,English,2018,2014,crm_import
1211,1,7239,B.A. Bachelor of Arts,College of Arts and Sciences,,2020,2016,crm_import
1212,1,13896,J.D. Doctor of Jurisprudence,College of Arts and Sciences,History,2000,1996,crm_import
1213,1,2956,M.A. Master of Arts,College of Arts and Sciences,Political Science,1957,1953,crm_import
1214,1,10762,A.B. Bachelor of Arts,College of Arts and Sciences,Economics,1999,1995,online
1215,1,10762,Certificate,School of Engineering,Mechanical Engineering,2002,2000,online
1216,1,15870,B.A. Bachelor of Arts,College of Arts and Sciences,Political Science,1985,1981,online
1217,1,99,M.S. Master of Science,School of Engineering,Mechanical Engineering,1995,1991,advancement_entry
1218,1,15814,Ph.D. Doctor of Philosophy,College of Arts and Sciences,,1996,1992,crm_import
1219,1,11952,M.S. Master of Science,College of Arts and Sciences,Political Science,2005,2001,crm_import
1220,1,18193,M.S. Master of Science,School of Education,Education,,1963,crm_import
1221,1,18193,A.B. Bachelor of Arts,School of Health Sciences,Public Health,1969,1967,crm_import
1222,1,2518,Ph.D. Doctor of Philosophy,College of Arts and Sciences,English,1984,1980,crm_import
1223,1,15537,Ph.D. Doctor of Philosophy,College of Arts and Sciences,Biology,1990,1986,crm_import
1224,1,7193,Certificate,College of Arts and Sciences,Political Science,2002,1998,crm_import
1225,1,15284,M.B.A. Master of Business Administration,School of Engineering,Mechanical Engineering,2012,2008,crm_import
1226,1,16423,A.B. Bachelor of Arts,School of Engineering,Mechanical Engineering,2025,2021,online
1227,1,9838,A.B. Bachelor of Arts,School of Engineering,Computer Science,2000,1996,online
1228,1,882,B.B.A. Bachelor of Business Administration,College of Arts and Sciences,Biology,1981,1977,advancement_entry
1229,1,13047,M.B.A. Master of Business Administration,College of Arts and Sciences,Economics,2015,2011,crm_import
1230,1,3668,M.B.A. Master of Business Administration,College of Arts and Sciences,Political Science,1962,1958,crm_import
1231,1,3668,J.D. Doctor of Jurisprudence,School of Health Sciences,Public Health,1964,1962,crm_import
1232,1,6238,J.D. Doctor of Jurisprudence,School of Engineering,Computer Science,1994,1990,crm_import
1233,1,12652,M.A. Master of Arts,School of Health Sciences,,2012,2008,crm_import
1234,1,2489,B.B.A. Bachelor of Business Administration,College of Arts and Sciences,Political Science,2004,2000,crm_import
1235,1,2489,Certificate,College of Arts and Sciences,Biology,2008,2006,crm_import
1236,1,16820,B.B.A. Bachelor of Business Administration,School of Business,Business Administration,,2022,crm_import
1237,1,11755,M.B.A. Master of Business Administration,College of Arts and Sciences,Economics,2015,2011,crm_import
1238,1,9484,M.B.A. Master of Business Administration,College of Arts and Sciences,History,1998,1994,online
1239,1,9137,,College of Arts and Sciences,History,2011,2007,online
1240,1,17576,B.A. Bachelor of Arts,School of Health Sciences,Public Health,,1994,advancement_entry
1241,1,2151,M.B.A. Master of Business Administration,College of Arts and Sciences,English,1994,1990,crm_import
1242,1,11625,B.S. Bachelor of Science,College of Arts and Sciences,History,2016,2012,crm_import
1243,1,17534,M.A. Master of Arts,College of Arts and Sciences,History,2002,1998,crm_import
1244,1,6370,M.A. Master of Arts,School of Education,Education,1978,1974,crm_import
1245,1,6370,Ph.D. Doctor of Philosophy,School of Business,Business Administration,1981,1979,crm_import
1246,1,18803,,School of Health Sciences,Public Health,,2017,crm_import
